group,calibration_file,num_calibration_examples,num_classes,temperature,calibration_nll_before,calibration_nll_after,calibration_ece_before,calibration_ece_after
exp2_ner,./results/evaluations/method/NameEntityRecognition/conll/deberta-small/vanilla/logits/0/conll_token_logits.csv,55922,17,1.5337791307916222,0.13506764856043435,0.09609063857963755,0.017802919679427372,0.011827529674566305
exp2_ner,./results/evaluations/method/NameEntityRecognition/ener/deberta-small/vanilla/logits/0/ener_token_logits.csv,109143,17,1.0831072999323104,0.024341123355648166,0.023061677731085868,0.0030235270639464486,0.002677474587507362
exp2_ner,./results/evaluations/method/NameEntityRecognition/wnut/deberta-small/vanilla/logits/0/wnut_token_logits.csv,35878,17,1.7556225948409732,0.3465616888771161,0.2422352757299836,0.03871042269258735,0.008226610766303504
exp2_nli,./results/evaluations/method/NaturalLanguageInference/anli/t5-small/vanilla/logits/0/anli_logits.csv,3200,3,2.9091513639376023,1.4129251870399324,1.0468754463571939,0.3120508281142346,0.09454741694413064
exp2_nli,./results/evaluations/method/NaturalLanguageInference/contract_nli/t5-small/vanilla/logits/0/contract_nli_logits.csv,2091,3,2.9072477602763005,1.460588284047874,1.1810150578829666,0.2604426377944239,0.13335524006066812
exp2_nli,./results/evaluations/method/NaturalLanguageInference/wanli/t5-small/vanilla/logits/0/wanli_logits.csv,5000,3,1.1681019334311122,0.7250407174056265,0.7182172235607688,0.043568503902593,0.012565506060740096
exp2_sentiment,./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/dynasent_logits.csv,4320,3,1.3233970806484823,0.7038739215288832,0.6807174517156943,0.06793449014620594,0.024014406653016754
exp2_sentiment,./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/imdb_logits.csv,25000,2,1.215901203790345,0.24519321328451443,0.2364552862402328,0.028113724594913722,0.010901821800574514
exp2_sentiment,./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/semeval_logits.csv,20632,3,1.243531311931459,0.8528803340314175,0.8404746180699203,0.10163793231773485,0.07334529639534816
exp2_sentiment,./results/evaluations/method/SentimentAnalysis/sst5/t5-small/vanilla/logits/0/sst5_logits.csv,1067,3,1.07865211908506,0.6329837798760501,0.6314421231979975,0.028449424076266862,0.0236281909071133
exp2_sentiment,./results/evaluations/method/SentimentAnalysis/yelp/t5-small/vanilla/logits/0/yelp_logits.csv,30000,3,1.1672479258624957,0.34397980013882096,0.33769904618427643,0.028286649724452856,0.008045034174451642
exp2_toxic,./results/evaluations/method/ToxicDetection/civil_comments/t5-small/vanilla/logits/0/civil_comments_logits.csv,97320,2,1.5560528966615872,0.43210224088039745,0.3840579411358282,0.08086963449422083,0.031250866332126676
exp2_toxic,./results/evaluations/method/ToxicDetection/implicit_hate/t5-small/vanilla/logits/0/implicit_hate_logits.csv,4296,2,1.0412351807375968,0.46270409467329127,0.4623427287324366,0.012970845824984875,0.008806393958697353
exp2_toxic,./results/evaluations/method/ToxicDetection/toxigen/t5-small/vanilla/logits/0/toxigen_logits.csv,940,2,1.267723809867339,0.5362282711280445,0.5231754228825946,0.06487349957292685,0.027250366766078084
exp3_arxiv,./wildtime_exp3/results/exp3_arxiv_val_logits.csv,45091,172,1.1844130001402056,1.375268293729211,1.3477539585521114,0.0723219077879448,0.013225139643300339
exp3_huffpost,./wildtime_exp3/results/exp3_huffpost_val_logits.csv,3555,11,1.3046651820217618,0.7552674308349809,0.7144295937212284,0.07596477520059775,0.024593484092788814
