model_name,task,train_years,test_year,time_gap,num_examples,accuracy,mean_confidence,ece,confidence_coverage
./model_cache/Qwen2.5-1.5B-Instruct,arxiv,"[2007, 2008, 2009, 2010]",2011,1,100,0.0,94.4,0.944,1.0
./model_cache/Qwen2.5-1.5B-Instruct,arxiv,"[2007, 2008, 2009, 2010]",2012,2,100,0.0,91.9,0.919,1.0
./model_cache/Qwen2.5-1.5B-Instruct,arxiv,"[2007, 2008, 2009, 2010]",2013,3,100,0.0,93.2,0.932,1.0
./model_cache/Qwen2.5-1.5B-Instruct,arxiv,"[2007, 2008, 2009, 2010]",2014,4,100,0.0,93.35,0.9335000000000001,1.0
./model_cache/Qwen2.5-1.5B-Instruct,arxiv,"[2007, 2008, 2009, 2010]",2015,5,100,0.0,93.15,0.9315,1.0
./model_cache/Qwen2.5-1.5B-Instruct,arxiv,"[2007, 2008, 2009, 2010]",2016,6,100,0.0,94.5,0.945,1.0
./model_cache/Qwen2.5-1.5B-Instruct,arxiv,"[2007, 2008, 2009, 2010]",2017,7,100,0.0,93.2,0.932,1.0
./model_cache/Qwen2.5-1.5B-Instruct,arxiv,"[2007, 2008, 2009, 2010]",2018,8,100,0.0,93.75,0.9375000000000001,1.0
./model_cache/Qwen2.5-1.5B-Instruct,arxiv,"[2007, 2008, 2009, 2010]",2019,9,100,0.0,92.4,0.9240000000000002,1.0
./model_cache/Qwen2.5-1.5B-Instruct,arxiv,"[2007, 2008, 2009, 2010]",2020,10,100,0.0,91.1,0.9110000000000001,1.0
./model_cache/Qwen2.5-1.5B-Instruct,arxiv,"[2007, 2008, 2009, 2010]",2021,11,100,0.0,92.25,0.9225000000000001,1.0
./model_cache/Qwen2.5-1.5B-Instruct,arxiv,"[2007, 2008, 2009, 2010]",2022,12,100,0.0,91.7,0.917,1.0
